name,orcid,field,year,prize
Jacques Dubochet,0000-0002-5792-4067,Chemistry,2017,cryo-electron microscopy
Joachim Frank,0000-0002-1589-3667,Chemistry,2017,cryo-electron microscopy
Richard Henderson,0000-0002-4795-8364,Chemistry,2017,cryo-electron microscopy
Jean-Pierre Sauvage,0000-0002-6270-8057,Chemistry,2016,molecular machines
Fraser Stoddart,0000-0003-3161-3697,Chemistry,2016,molecular machines
Bernard L. Feringa,0000-0003-0588-8435,Chemistry,2016,molecular machines
Tomas Lindahl,0000-0002-6771-3093,Chemistry,2015,DNA repair
Paul Modrich,0000-0002-5073-2890,Chemistry,2015,DNA repair
Aziz Sancar,0000-0002-8061-1046,Chemistry,2015,DNA repair
Eric Betzig,0000-0002-0395-4560,Chemistry,2014,super-resolution microscopy
Stefan W. Hell,0000-0002-9638-5077,Chemistry,2014,super-resolution microscopy
W.E. Moerner,0000-0002-4628-1155,Chemistry,2014,super-resolution microscopy
Martin Karplus,0000-0002-8269-8025,Chemistry,2013,computational chemistry
Michael Levitt,0000-0001-6736-7885,Chemistry,2013,computational chemistry
Arieh Warshel,0000-0002-2453-7972,Chemistry,2013,computational chemistry
Robert J. Lefkowitz,0000-0003-1364-3761,Chemistry,2012,G-protein-coupled receptors
Brian K. Kobilka,0000-0002-6590-7702,Chemistry,2012,G-protein-coupled receptors
Dan Shechtman,0000-0002-3968-2115,Chemistry,2011,quasicrystals
Ei-ichi Negishi,0000-0003-3582-6011,Chemistry,2010,palladium-catalyzed cross couplings
Akira Suzuki,0000-0002-3854-8223,Chemistry,2010,palladium-catalyzed cross couplings
Venkatraman Ramakrishnan,0000-0002-2455-9361,Chemistry,2009,ribosome structure
Ada E. Yonath,0000-0002-7513-452X,Chemistry,2009,ribosome structure
Martin Chalfie,0000-0002-9108-5156,Chemistry,2008,green fluorescent protein
Gerhard Ertl,0000-0001-5185-1936,Chemistry,2007,surface chemistry
Roger D. Kornberg,0000-0002-7504-3471,Chemistry,2006,transcription
Robert H. Grubbs,0000-0002-0057-7817,Chemistry,2005,olefin metathesis
Richard R. Schrock,0000-0002-7030-6111,Chemistry,2005,olefin metathesis
Daron Acemoglu,0000-0002-7152-7017,Economics,2024,institutions and prosperity
Simon Johnson,0000-0002-2945-4040,Economics,2024,institutions and prosperity
James A. Robinson,0000-0001-8888-2549,Economics,2024,institutions and prosperity
Claudia Goldin,0000-0002-7189-0463,Economics,2023,women in labor market
Ben S. Bernanke,0000-0003-2185-0852,Economics,2022,banks and financial crises
Douglas W. Diamond,0000-0001-6747-7800,Economics,2022,banks and financial crises
Philip H. Dybvig,0000-0002-8250-8970,Economics,2022,banks and financial crises
David Card,0000-0002-0386-5447,Economics,2021,labor economics
Joshua D. Angrist,0000-0002-2191-7147,Economics,2021,causal relationships
Guido W. Imbens,0000-0002-0767-2977,Economics,2021,causal relationships
Paul R. Milgrom,0000-0002-2179-7173,Economics,2020,auction theory
Robert B. Wilson,0000-0002-7887-8071,Economics,2020,auction theory
Abhijit Banerjee,0000-0002-7865-8316,Economics,2019,poverty alleviation
Esther Duflo,0000-0001-9456-6615,Economics,2019,poverty alleviation
Michael Kremer,0000-0002-2766-1857,Economics,2019,poverty alleviation
William D. Nordhaus,0000-0001-9844-3996,Economics,2018,climate change economics
Paul M. Romer,0000-0002-5005-0154,Economics,2018,endogenous growth theory
Richard H. Thaler,0000-0002-9910-6380,Economics,2017,behavioral economics
Oliver Hart,0000-0002-5764-9949,Economics,2016,contract theory
Bengt Holmström,0000-0002-9776-7773,Economics,2016,contract theory
Angus Deaton,0000-0002-1195-6489,Economics,2015,"consumption, poverty, welfare"
Jean Tirole,0000-0002-2245-0803,Economics,2014,market power and regulation
Eugene F. Fama,0000-0002-9700-8396,Economics,2013,asset prices
Lars Peter Hansen,0000-0002-8916-8746,Economics,2013,asset prices
Robert J. Shiller,0000-0003-1352-3494,Economics,2013,asset prices
Alvin E. Roth,0000-0002-0968-1816,Economics,2012,matching theory
Thomas J. Sargent,0000-0003-1801-1175,Economics,2011,macroeconomics
Christopher A. Sims,0000-0001-6695-0886,Economics,2011,macroeconomics
Peter A. Diamond,0000-0002-0957-2015,Economics,2010,search frictions
Christopher A. Pissarides,0000-0002-5059-7791,Economics,2010,search frictions
Paul Krugman,0000-0001-8364-0845,Economics,2008,trade patterns
Eric S. Maskin,0000-0002-8460-8468,Economics,2007,mechanism design
Roger B. Myerson,0000-0002-8860-0647,Economics,2007,mechanism design
Edmund S. Phelps,0000-0002-1735-7724,Economics,2006,macroeconomic policy
Robert J. Aumann,0000-0003-1231-2997,Economics,2005,game theory
